dataset,input_len,pred_len,dm,ff,hd,el,lr,bs,ladj,model_name,target_dataset,ft,sl,ll,pl,dm2,nh,el2,dl,df,expand,dc,fc,ebtime,dt,exp,mse,mae,raw_name,is_rag
ETTh1,96,96,128.0,128.0,1.0,1.0,0.0005,32.0,1.0,DLinear,ETTh1,M,96,48,96,128,1,1,1,128,2,4,3,F,True,0,0.38393157720565796,0.39717212319374084,ETTh1_96_96_dm128_ff128_hd1_el1_lr0.0005_bs32_ladjtype1_DLinear_ETTh1_ftM_sl96_ll48_pl96_dm128_nh1_el1_dl1_df128_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0_rag,1
ETTh1,96,96,,,,,,,,PatchTST,ETTh1,M,96,48,96,128,2,2,1,128,2,4,3,F,True,0,0.38495612144470215,0.4013853371143341,ETTh1_96_96_PatchTST_ETTh1_ftM_sl96_ll48_pl96_dm128_nh2_el2_dl1_df128_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0_rag,1
ETTh1,96,96,128.0,128.0,1.0,1.0,0.001,32.0,1.0,RLinear,ETTh1,M,96,48,96,128,1,1,1,128,2,4,3,F,True,0,0.3865722715854645,0.3947553038597107,ETTh1_96_96_dm128_ff128_hd1_el1_lr0.001_bs32_ladjtype1_RLinear_ETTh1_ftM_sl96_ll48_pl96_dm128_nh1_el1_dl1_df128_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0_rag,1
ETTh1,96,96,512.0,512.0,1.0,1.0,0.001,16.0,1.0,iTransformer,ETTh1,M,96,48,96,512,1,1,1,512,2,4,3,F,True,0,0.37411001324653625,0.397758811712265,ETTh1_96_96_dm512_ff512_hd1_el1_lr0.001_bs16_ladjtype1_iTransformer_ETTh1_ftM_sl96_ll48_pl96_dm512_nh1_el1_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0_rag,1
ETTh1,96,192,128.0,128.0,1.0,1.0,0.001,64.0,1.0,DLinear,ETTh1,M,96,48,192,128,1,1,1,128,2,4,3,F,True,0,0.4332444965839386,0.4267670214176178,ETTh1_96_192_dm128_ff128_hd1_el1_lr0.001_bs64_ladjtype1_DLinear_ETTh1_ftM_sl96_ll48_pl192_dm128_nh1_el1_dl1_df128_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0_rag,1
ETTh1,96,192,128.0,128.0,1.0,1.0,0.001,32.0,1.0,RLinear,ETTh1,M,96,48,192,128,1,1,1,128,2,4,3,F,True,0,0.4353344440460205,0.4225230813026428,ETTh1_96_192_dm128_ff128_hd1_el1_lr0.001_bs32_ladjtype1_RLinear_ETTh1_ftM_sl96_ll48_pl192_dm128_nh1_el1_dl1_df128_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0_rag,1
ETTh1,96,192,512.0,512.0,1.0,2.0,0.001,16.0,1.0,iTransformer,ETTh1,M,96,48,192,512,1,2,1,512,2,4,3,F,True,0,0.42679738998413086,0.4303605258464813,ETTh1_96_192_dm512_ff512_hd1_el2_lr0.001_bs16_ladjtype1_iTransformer_ETTh1_ftM_sl96_ll48_pl192_dm512_nh1_el2_dl1_df512_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0_rag,1
ETTh1,96,336,128.0,128.0,1.0,1.0,0.001,64.0,1.0,DLinear,ETTh1,M,96,48,336,128,1,1,1,128,2,4,3,F,True,0,0.47827276587486267,0.45494404435157776,ETTh1_96_336_dm128_ff128_hd1_el1_lr0.001_bs64_ladjtype1_DLinear_ETTh1_ftM_sl96_ll48_pl336_dm128_nh1_el1_dl1_df128_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0_rag,1
ETTh1,96,336,,,,,,,,PatchTST,ETTh1,M,96,48,336,128,8,2,1,128,2,4,3,F,True,0,0.4736734926700592,0.4531433880329132,ETTh1_96_336_PatchTST_ETTh1_ftM_sl96_ll48_pl336_dm128_nh8_el2_dl1_df128_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0_rag,1
ETTh1,96,336,128.0,128.0,1.0,1.0,0.001,32.0,1.0,RLinear,ETTh1,M,96,48,336,128,1,1,1,128,2,4,3,F,True,0,0.47650790214538574,0.44322794675827026,ETTh1_96_336_dm128_ff128_hd1_el1_lr0.001_bs32_ladjtype1_RLinear_ETTh1_ftM_sl96_ll48_pl336_dm128_nh1_el1_dl1_df128_expand2_dc4_fc3_ebtimeF_dtTrue_Exp_0_rag,1
